account_id,account_name,domain,segment,industry,region,created_date,owner_id,lifecycle_stage,last_activity_at,is_customer,is_churned
2962,"Cook, Petty and Cohen",cookpettyandcohen.com,SMB,FinTech,South,2024-10-05,20,lead,,False,False
1694,Wang LLC,wangllc.com,SMB,Retail,South,2024-06-27,12,lead,,False,False
1808,"Phillips, Lawson and Davis",phillipslawsonanddavis.com,Mid-Market,Retail,North,2022-11-24,8,lead,,False,False
2031,"Roberson, Walker and Crawford",robersonwalkerandcrawford.com,SMB,Healthcare,North,2022-09-07,29,lead,,False,False
443,"Hernandez, Lopez and Tate",hernandezlopezandtate.com,SMB,Education,South,2023-02-15,16,lead,,False,False
1182,Thomas-Crawford,thomas-crawford.com,SMB,Retail,East,2022-12-29,30,lead,,False,False
846,"Trujillo, Lamb and Collins",trujillolambandcollins.com,Mid-Market,FinTech,North,2025-04-27,9,lead,,False,False
3278,Simpson-Hunt,simpson-hunt.com,Enterprise,FinTech,South,2023-09-08,19,lead,,False,False
1635,Phillips PLC,phillipsplc.com,SMB,FinTech,International,2023-06-27,29,lead,,False,False
3256,Phillips Ltd,phillipsltd.com,SMB,Education,North,2024-05-02,3,lead,,False,False
2344,"Lane, Robinson and Campos",lanerobinsonandcampos.com,Mid-Market,Healthcare,North,2025-07-10,3,lead,,False,False
2039,"Mann, Walker and Johnson",mannwalkerandjohnson.com,SMB,Education,South,2024-10-04,13,lead,,False,False
1327,Patel Inc,patelinc.com,Mid-Market,Retail,South,2023-11-30,19,lead,,False,False
3910,Chambers LLC,chambersllc.com,SMB,Healthcare,East,2025-03-18,24,lead,,False,False
141,Torres-Huynh,torres-huynh.com,SMB,Healthcare,East,2025-05-09,26,lead,,False,False
368,Villanueva-Hubbard,villanueva-hubbard.com,SMB,Healthcare,West,2024-03-12,32,lead,,False,False
2436,Acosta Inc,acostainc.com,SMB,Healthcare,South,2025-03-11,18,lead,,False,False
1548,Tyler-Allen,tyler-allen.com,Mid-Market,FinTech,South,2023-01-12,19,lead,,False,False
334,Strong-Carter,strong-carter.com,SMB,Education,West,2023-11-22,33,lead,,False,False
2165,"Berry, Walters and Little",berrywaltersandlittle.com,SMB,Education,South,2022-12-04,6,lead,,False,False
2369,Lewis-Mason,lewis-mason.com,Mid-Market,Education,North,2023-08-17,4,lead,,False,False
193,"Edwards, Patterson and Russell",edwardspattersonandrussell.com,SMB,FinTech,South,2022-12-22,18,lead,,False,False
2197,"Henderson, Dixon and Hardin",hendersondixonandhardin.com,SMB,Healthcare,East,2024-01-08,32,lead,,False,False
465,"Wagner, Forbes and Rowe",wagnerforbesandrowe.com,Mid-Market,FinTech,North,2022-08-29,6,lead,,False,False
3124,Hebert-Mendoza,hebert-mendoza.com,SMB,Retail,International,2023-05-08,50,lead,,False,False
1074,"Harvey, Harris and Rodriguez",harveyharrisandrodriguez.com,SMB,Education,International,2024-04-07,46,lead,,False,False
1540,Adams LLC,adamsllc.com,SMB,Education,East,2024-09-19,26,lead,,False,False
2675,"Ramirez, Patterson and Johnson",ramirezpattersonandjohnson.com,SMB,Retail,South,2024-05-11,18,lead,,False,False
1588,"Cohen, Garcia and Smith",cohengarciaandsmith.com,SMB,Education,West,2025-01-06,23,lead,,False,False
3691,Kennedy-Keller,kennedy-keller.com,SMB,Education,South,2024-09-10,20,lead,,False,False
1522,"Davis, Tran and King",davistranandking.com,Mid-Market,Healthcare,South,2023-11-25,17,lead,,False,False
747,Davis Ltd,davisltd.com,Mid-Market,Education,East,2023-07-05,21,lead,,False,False
1569,Moss LLC,mossllc.com,Mid-Market,Healthcare,North,2024-11-06,6,lead,,False,False
2819,Taylor PLC,taylorplc.com,SMB,Healthcare,North,2023-01-18,2,lead,,False,False
533,Mueller-Welch,mueller-welch.com,SMB,Education,North,2025-02-28,6,lead,,False,False
2956,Owen-Smith,owen-smith.com,SMB,Retail,North,2022-08-17,8,lead,,False,False
275,Martin-Franco,martin-franco.com,SMB,Healthcare,West,2023-01-08,36,lead,,False,False
2303,Compton Ltd,comptonltd.com,SMB,FinTech,West,2025-06-07,39,lead,,False,False
424,Lutz LLC,lutzllc.com,SMB,Healthcare,South,2023-02-01,19,lead,,False,False
3181,Landry-Jones,landry-jones.com,SMB,Retail,International,2025-01-11,43,lead,,False,False
1208,Simmons Group,simmonsgroup.com,SMB,Education,North,2024-04-20,1,lead,,False,False
3692,"Page, Sanders and Phillips",pagesandersandphillips.com,SMB,Healthcare,North,2023-03-05,34,lead,,False,False
491,Miller LLC,millerllc.com,Mid-Market,Retail,East,2024-08-03,43,lead,,False,False
3377,"Nguyen, Vazquez and Harvey",nguyenvazquezandharvey.com,SMB,Education,International,2023-04-21,43,lead,,False,False
3845,Vang PLC,vangplc.com,SMB,Healthcare,West,2024-04-23,21,lead,,False,False
900,"Miller, Leon and Clark",millerleonandclark.com,Mid-Market,Retail,South,2023-10-16,16,lead,,False,False
2513,"Shea, Chapman and Kim",sheachapmanandkim.com,SMB,Healthcare,West,2023-07-03,44,lead,,False,False
1665,Price-Howard,price-howard.com,SMB,Healthcare,East,2023-08-02,23,lead,,False,False
777,"Phillips, Jenkins and Wade",phillipsjenkinsandwade.com,SMB,Education,North,2023-10-03,11,lead,,False,False
3765,"Armstrong, Ryan and Robinson",armstrongryanandrobinson.com,SMB,Retail,North,2022-07-26,7,lead,,False,False
2958,Smith PLC,smithplc.com,Enterprise,Retail,South,2022-10-15,12,lead,,False,False
3481,Wilson PLC,wilsonplc.com,SMB,Healthcare,South,2024-09-26,12,lead,,False,False
3388,"Carrillo, Vazquez and Shaw",carrillovazquezandshaw.com,SMB,Retail,East,2022-09-10,21,lead,,False,False
2181,"Moore, Navarro and Nichols",moorenavarroandnichols.com,Enterprise,Education,East,2022-07-21,27,lead,,False,False
1494,Payne-Brown,payne-brown.com,SMB,FinTech,East,2022-08-23,22,lead,,False,False
3418,Hernandez Ltd,hernandezltd.com,SMB,FinTech,West,2025-04-17,36,lead,,False,False
281,"Huffman, Henderson and Lewis",huffmanhendersonandlewis.com,SMB,FinTech,South,2024-04-29,13,lead,,False,False
3652,"Wells, Jones and Armstrong",wellsjonesandarmstrong.com,SMB,Retail,West,2024-12-01,35,lead,,False,False
2260,"Miller, Price and Page",millerpriceandpage.com,SMB,Education,South,2025-04-12,12,lead,,False,False
188,Swanson-Foster,swanson-foster.com,Mid-Market,FinTech,North,2023-02-24,6,lead,,False,False
2708,Hendricks-Holland,hendricks-holland.com,SMB,Retail,North,2025-06-09,6,lead,,False,False
1535,Mcclure Ltd,mcclureltd.com,SMB,Retail,North,2024-06-02,8,lead,,False,False
2301,"Hernandez, Summers and Hurst",hernandezsummersandhurst.com,Enterprise,FinTech,North,2023-07-14,25,lead,,False,False
2700,Brown LLC,brownllc.com,Mid-Market,Healthcare,International,2025-02-07,43,lead,,False,False
3996,Schwartz PLC,schwartzplc.com,Mid-Market,Healthcare,North,2025-03-05,1,lead,,False,False
412,"Meyer, Green and Aguilar",meyergreenandaguilar.com,SMB,FinTech,East,2025-01-27,27,lead,,False,False
3469,Molina-Ryan,molina-ryan.com,SMB,Healthcare,South,2024-10-30,16,lead,,False,False
1576,Livingston-Taylor,livingston-taylor.com,SMB,Education,International,2025-06-10,48,lead,,False,False
181,"Rowland, Jordan and Johnson",rowlandjordanandjohnson.com,Mid-Market,Healthcare,East,2025-01-09,27,lead,,False,False
2710,Curry LLC,curryllc.com,SMB,Healthcare,North,2025-01-31,4,lead,,False,False
2843,Salinas-Young,salinas-young.com,SMB,Education,South,2022-12-10,20,lead,,False,False
3583,"Johnson, Schaefer and Rodriguez",johnsonschaeferandrodriguez.com,SMB,Retail,International,2024-06-17,42,lead,,False,False
917,"Jones, Walker and Williams",joneswalkerandwilliams.com,SMB,FinTech,East,2024-08-07,14,lead,,False,False
2067,Stanton-Stone,stanton-stone.com,SMB,Healthcare,East,2024-08-05,24,lead,,False,False
2494,"Kent, Reed and Bennett",kentreedandbennett.com,Mid-Market,Retail,South,2023-08-21,17,lead,,False,False
23,Wright Group,wrightgroup.com,SMB,Education,West,2022-10-15,35,lead,,False,False
2187,"Mcdonald, Hickman and Martinez",mcdonaldhickmanandmartinez.com,SMB,Healthcare,South,2024-09-07,17,lead,,False,False
2183,"Tyler, Munoz and Randolph",tylermunozandrandolph.com,SMB,Retail,East,2022-08-04,21,lead,,False,False
1431,Sanders PLC,sandersplc.com,SMB,Education,East,2025-06-14,23,lead,,False,False
2379,Bradley Ltd,bradleyltd.com,SMB,FinTech,South,2024-01-24,13,lead,,False,False
3029,Simpson Group,simpsongroup.com,SMB,Retail,East,2024-09-25,39,lead,,False,False
2312,Herrera-Freeman,herrera-freeman.com,Mid-Market,Healthcare,West,2025-01-07,19,lead,,False,False
1093,Finley-Cook,finley-cook.com,Mid-Market,FinTech,North,2023-08-07,1,lead,,False,False
3938,"Sloan, Lewis and Winters",sloanlewisandwinters.com,SMB,Retail,North,2025-07-11,4,lead,,False,False
2406,Sanchez-Rodriguez,sanchez-rodriguez.com,SMB,Retail,South,2023-07-13,48,lead,,False,False
2896,"Harper, Terry and Bennett",harperterryandbennett.com,SMB,Retail,South,2022-09-17,49,lead,,False,False
635,Chang Inc,changinc.com,Mid-Market,Retail,International,2024-04-14,49,lead,,False,False
3817,Boyle-Bentley,boyle-bentley.com,SMB,Retail,West,2024-08-31,23,lead,,False,False
2235,Garza Ltd,garzaltd.com,SMB,FinTech,East,2025-06-16,9,lead,,False,False
2306,Baird Inc,bairdinc.com,SMB,Retail,East,2023-03-22,26,lead,,False,False
1351,Miller LLC,millerllc.com,SMB,Education,International,2024-01-25,48,lead,,False,False
2618,"Shepherd, Wright and Ross",shepherdwrightandross.com,SMB,Retail,North,2022-09-01,10,lead,,False,False
