campaign_id,source,start_date,end_date,status,objective
1,paid_search,2/4/2024,,active,brand_awareness
2,email,1/2/2024,7/22/2024,active,product_launch
3,social,1/22/2024,7/13/2024,completed,upsell
4,other_publicities,2/12/2023,6/28/2024,completed,lead_gen
5,other_publicities,9/10/2023,6/19/2024,completed,lead_gen
6,social,3/13/2024,9/22/2024,completed,upsell
7,direct_traffic,8/26/2023,5/7/2024,completed,brand_awareness
8,paid_search,10/18/2023,4/28/2024,completed,product_launch
9,direct_traffic,11/20/2023,8/14/2024,completed,product_launch
10,email,3/12/2024,,active,product_launch
11,referral,3/23/2023,5/8/2024,completed,product_launch
12,other_publicities,3/30/2024,7/2/2024,completed,lead_gen
13,email,6/28/2023,3/13/2024,completed,lead_gen
14,display,4/14/2023,2/4/2024,completed,upsell
15,other,10/12/2023,12/31/2024,planned,lead_gen
16,direct_traffic,10/5/2023,10/16/2024,completed,product_launch
17,other_publicities,3/20/2023,11/17/2023,completed,upsell
18,direct_traffic,1/18/2023,8/5/2023,completed,product_launch
19,other_publicities,1/4/2023,4/3/2024,completed,product_launch
20,display,1/14/2024,,active,upsell
21,referral,10/10/2023,9/5/2024,completed,brand_awareness
22,social,2/6/2023,7/26/2024,completed,product_launch
23,social,6/21/2023,7/10/2024,completed,upsell
24,social,6/3/2023,12/27/2023,completed,brand_awareness
25,display,5/17/2023,9/25/2023,completed,lead_gen
26,other_publicities,6/8/2023,,active,upsell
27,display,7/1/2023,,active,lead_gen
28,other,5/16/2023,10/15/2024,completed,product_launch
29,other,3/9/2024,7/6/2024,completed,brand_awareness
30,social,2/25/2023,11/30/2023,completed,product_launch
31,email,2/24/2024,12/31/2024,planned,brand_awareness
32,referral,3/2/2024,12/31/2024,planned,upsell
33,other,3/15/2024,12/31/2024,planned,upsell
34,other,3/19/2024,,active,upsell
35,other,1/31/2023,7/5/2023,completed,product_launch
36,paid_search,10/21/2023,12/31/2024,planned,brand_awareness
37,email,8/10/2023,9/22/2024,completed,brand_awareness
38,social,11/12/2023,12/31/2024,planned,product_launch
39,direct_traffic,10/17/2023,,active,product_launch
40,direct_traffic,7/7/2023,,active,product_launch
41,display,10/14/2023,12/31/2024,planned,product_launch
42,other_publicities,6/5/2023,2/10/2024,completed,product_launch
43,other_publicities,2/19/2023,8/12/2023,completed,brand_awareness
44,other_publicities,2/14/2024,12/31/2024,planned,product_launch
45,display,1/22/2023,6/13/2024,completed,product_launch
46,other_publicities,11/18/2023,9/3/2024,completed,lead_gen
47,email,5/1/2023,12/24/2023,completed,lead_gen
48,referral,9/10/2023,11/18/2024,completed,upsell
49,display,7/30/2023,3/25/2024,completed,upsell
50,other,9/29/2023,,active,upsell
51,referral,9/7/2023,12/31/2024,planned,upsell
52,display,1/19/2024,,active,brand_awareness
53,display,6/2/2023,9/5/2023,completed,brand_awareness
54,paid_search,5/28/2023,6/13/2024,completed,brand_awareness
55,other_publicities,1/31/2024,10/30/2024,completed,lead_gen
56,referral,2/11/2023,3/12/2024,completed,brand_awareness
57,referral,4/9/2023,10/15/2023,completed,upsell
58,paid_search,11/21/2023,6/3/2024,completed,brand_awareness
59,other,5/26/2023,11/30/2023,completed,brand_awareness
60,paid_search,7/25/2023,,active,product_launch
61,other,4/17/2023,10/24/2023,completed,upsell
62,direct_traffic,1/6/2024,11/12/2024,completed,lead_gen
63,email,7/24/2023,12/31/2024,planned,brand_awareness
64,paid_search,3/15/2024,12/31/2024,planned,lead_gen
65,email,6/30/2023,10/16/2024,completed,product_launch
66,other,1/28/2024,9/26/2024,completed,upsell
67,other,2/12/2024,12/31/2024,planned,product_launch
68,paid_search,1/12/2023,9/10/2023,completed,lead_gen
69,social,1/27/2023,7/8/2023,completed,lead_gen
70,direct_traffic,10/13/2023,12/31/2024,planned,upsell
