churn_event_id,customer_id,churn_date,region,segment,reason
1,1025,2023-09-18,East,Mid-Market,other
2,156,2023-10-09,North,SMB,product_fit
3,1934,2024-01-17,West,SMB,product_fit
4,838,2024-04-05,North,SMB,budget_cut
5,1671,2023-06-03,North,SMB,other
6,1962,2024-08-10,South,Mid-Market,competitor
7,1578,2024-06-15,North,SMB,competitor
8,214,2023-08-29,South,SMB,budget_cut
9,1411,2024-01-07,North,Enterprise,lost_sponsor
10,884,2023-05-06,West,SMB,budget_cut
11,739,2023-06-03,North,SMB,product_fit
12,803,2023-11-24,West,Enterprise,competitor
13,271,2024-01-22,West,SMB,product_fit
14,747,2024-07-11,South,SMB,lost_sponsor
15,315,2024-10-22,West,Enterprise,other
16,264,2023-07-06,North,SMB,budget_cut
17,970,2023-08-24,South,SMB,support
18,1064,2024-03-03,North,Mid-Market,competitor
19,566,2024-06-01,East,SMB,lost_sponsor
20,1711,2024-03-16,International,SMB,competitor
21,918,2024-09-18,International,SMB,support
22,1527,2024-02-08,North,SMB,product_fit
23,458,2024-02-16,West,SMB,product_fit
24,1696,2024-06-01,International,Mid-Market,budget_cut
25,603,2023-04-17,North,Mid-Market,lost_sponsor
26,1442,2023-10-13,West,SMB,competitor
27,110,2024-11-14,East,SMB,product_fit
28,592,2023-04-12,East,SMB,support
29,870,2024-03-22,West,SMB,other
30,1292,2023-08-17,North,Enterprise,competitor
31,450,2024-10-04,International,Mid-Market,budget_cut
32,107,2024-02-12,International,SMB,competitor
33,661,2024-01-23,West,Mid-Market,other
34,408,2023-12-18,West,Mid-Market,support
35,300,2024-10-02,North,SMB,budget_cut
36,783,2024-07-14,East,SMB,competitor
37,1242,2023-12-17,North,SMB,competitor
38,358,2023-11-30,North,SMB,budget_cut
39,561,2024-03-18,East,Mid-Market,budget_cut
40,875,2024-02-14,East,SMB,product_fit
41,1001,2024-09-03,South,SMB,product_fit
42,1995,2024-09-29,South,SMB,product_fit
43,760,2024-06-10,East,SMB,other
44,1437,2024-06-27,International,Mid-Market,competitor
45,128,2024-08-15,West,Mid-Market,other
46,1453,2023-07-22,North,SMB,product_fit
47,1004,2024-11-16,West,Mid-Market,competitor
48,1767,2023-10-08,West,Mid-Market,lost_sponsor
49,1072,2023-06-26,South,Enterprise,competitor
50,1847,2023-10-21,East,Mid-Market,budget_cut
51,1344,2023-06-01,East,SMB,competitor
52,396,2023-04-02,West,Mid-Market,support
53,1128,2024-07-01,South,SMB,support
54,456,2023-08-31,East,SMB,other
55,785,2023-07-01,East,SMB,product_fit
56,1848,2024-06-20,West,SMB,competitor
57,100,2023-06-07,International,Mid-Market,competitor
58,690,2024-07-29,South,SMB,product_fit
59,133,2023-09-11,East,Mid-Market,competitor
60,684,2023-08-23,International,SMB,other
61,213,2023-05-24,West,SMB,budget_cut
62,1730,2024-04-03,North,SMB,lost_sponsor
63,872,2023-05-01,North,SMB,other
64,109,2023-07-01,South,SMB,lost_sponsor
65,720,2023-12-08,North,Mid-Market,product_fit
66,1461,2024-08-21,South,SMB,support
67,382,2024-11-18,South,SMB,support
68,1718,2023-09-21,International,SMB,competitor
69,1875,2024-10-01,International,SMB,other
70,1486,2024-08-08,International,SMB,budget_cut
71,548,2024-11-18,North,Mid-Market,product_fit
72,98,2024-08-08,South,Mid-Market,lost_sponsor
73,864,2024-03-09,East,SMB,product_fit
74,680,2023-07-06,International,SMB,lost_sponsor
75,299,2024-08-20,North,SMB,other
76,995,2023-07-13,West,Mid-Market,other
77,372,2024-09-20,International,SMB,product_fit
78,248,2023-09-05,North,Mid-Market,competitor
79,1607,2024-01-14,East,SMB,support
80,1618,2023-08-05,West,SMB,product_fit
81,1226,2023-05-02,West,SMB,lost_sponsor
82,874,2023-08-31,South,SMB,other
83,1418,2024-05-09,East,SMB,product_fit
84,1058,2023-08-18,East,SMB,product_fit
85,1964,2024-03-03,International,Mid-Market,competitor
86,337,2023-11-26,West,SMB,support
87,1924,2024-11-19,North,Mid-Market,support
88,46,2024-07-26,South,SMB,product_fit
89,281,2023-08-14,West,SMB,support
90,1660,2024-03-18,International,SMB,support
91,182,2024-01-04,West,SMB,budget_cut
92,1665,2023-04-02,North,Mid-Market,support
93,835,2023-12-13,International,SMB,other
94,1432,2024-09-19,International,Mid-Market,budget_cut
95,83,2024-07-02,West,Mid-Market,budget_cut
96,129,2024-07-26,South,Mid-Market,competitor
97,1353,2024-03-17,West,SMB,support
98,1716,2023-10-03,International,Enterprise,support
99,258,2023-10-13,West,SMB,competitor
100,1754,2024-08-17,West,Mid-Market,lost_sponsor
101,539,2023-05-25,West,SMB,lost_sponsor
102,119,2023-06-23,South,SMB,competitor
103,1476,2024-07-01,South,SMB,other
