customer_id,account_id,onboard_date,segment,status
1,1304,2024-10-15,SMB,active
2,1238,2024-05-22,SMB,active
3,1466,2025-03-14,SMB,active
4,741,2024-10-20,SMB,active
5,126,2024-01-22,SMB,active
6,479,2023-08-11,SMB,active
7,1554,2023-07-06,Enterprise,active
8,1432,2025-03-26,Mid-Market,active
9,2053,2023-07-31,Mid-Market,active
10,247,2023-04-09,SMB,active
11,177,2023-11-02,Mid-Market,churned
12,1543,2023-03-29,SMB,active
13,437,2024-12-17,SMB,churned
14,2387,2023-12-26,SMB,active
15,791,2023-10-28,SMB,active
16,177,2023-11-04,Mid-Market,active
17,598,2025-02-15,SMB,active
18,2684,2023-03-27,Mid-Market,active
19,1246,2024-01-31,Enterprise,active
20,1294,2024-03-22,SMB,churned
21,3067,2025-04-22,Mid-Market,active
22,3417,2023-04-14,Mid-Market,active
23,3246,2025-03-08,SMB,active
24,1896,2025-02-03,SMB,active
25,726,2023-09-14,SMB,active
26,231,2025-03-02,Mid-Market,active
27,1357,2025-01-04,Mid-Market,active
28,3353,2025-01-07,SMB,active
29,2227,2025-03-02,Mid-Market,active
30,114,2024-07-01,SMB,active
31,652,2024-10-14,SMB,churned
32,3815,2023-12-22,SMB,churned
33,2534,2023-02-12,SMB,churned
34,3015,2024-05-22,SMB,active
35,627,2023-09-16,Mid-Market,active
36,3659,2024-11-04,Mid-Market,active
37,1976,2025-04-09,SMB,active
38,1967,2025-04-16,Enterprise,active
39,3175,2024-03-12,Mid-Market,active
40,91,2023-08-06,Mid-Market,churned
41,2622,2025-02-07,SMB,active
42,2761,2025-04-26,Mid-Market,active
43,888,2023-10-29,Enterprise,active
44,1785,2024-04-10,SMB,churned
45,1733,2023-02-26,SMB,active
46,3154,2025-01-13,SMB,churned
47,1598,2025-01-31,SMB,active
48,789,2023-10-30,Mid-Market,active
49,2678,2023-03-24,SMB,active
50,2374,2023-11-30,SMB,active
51,248,2024-11-06,Mid-Market,churned
52,2649,2025-01-23,SMB,active
53,3497,2024-03-11,SMB,active
54,2216,2023-11-01,Mid-Market,active
55,3785,2024-12-02,Mid-Market,active
56,14,2025-03-19,SMB,active
57,1521,2024-11-06,Mid-Market,active
58,2706,2024-06-01,SMB,active
59,726,2023-08-20,SMB,active
60,763,2025-01-11,SMB,active
61,187,2024-10-22,SMB,active
62,3244,2025-03-30,Mid-Market,active
63,2608,2023-04-06,Mid-Market,active
64,3230,2023-09-30,Mid-Market,active
65,3136,2023-12-13,SMB,active
66,2129,2023-03-30,SMB,active
67,2408,2024-06-14,SMB,active
68,1765,2024-01-14,Mid-Market,active
69,2504,2024-12-19,SMB,active
70,3354,2025-02-17,Mid-Market,active
71,2308,2024-02-03,Mid-Market,active
72,2908,2025-03-01,Enterprise,active
73,2441,2023-11-03,SMB,active
74,1018,2024-11-05,SMB,active
75,46,2023-02-19,Mid-Market,active
76,3459,2025-03-09,Mid-Market,churned
77,3839,2024-11-12,SMB,active
78,1465,2023-09-03,SMB,active
79,1686,2023-11-05,Mid-Market,active
80,2637,2024-10-28,Mid-Market,active
81,1321,2024-01-02,SMB,churned
82,1718,2023-05-25,SMB,active
83,2897,2024-02-14,Mid-Market,churned
84,1861,2023-04-15,Mid-Market,active
85,2695,2023-06-11,SMB,active
86,2430,2023-11-27,Mid-Market,active
87,1852,2025-01-28,SMB,active
88,2265,2025-02-10,SMB,churned
89,2513,2023-07-08,SMB,active
90,810,2024-08-29,SMB,active
91,3165,2023-08-18,SMB,active
92,1802,2024-11-23,Mid-Market,active
93,584,2023-10-10,Mid-Market,active
94,1868,2025-02-03,SMB,active
95,131,2024-09-29,SMB,active
96,1724,2023-03-17,SMB,active
97,182,2025-03-05,SMB,active
98,2386,2023-03-30,Mid-Market,churned
99,2284,2023-07-26,SMB,churned
100,3879,2024-01-14,Mid-Market,churned
101,133,2023-06-25,Enterprise,active
102,2152,2024-06-06,SMB,active
103,1388,2025-01-18,Mid-Market,active
104,2972,2025-04-12,Mid-Market,active
105,847,2024-06-04,SMB,active
106,2971,2024-10-20,SMB,active
107,1241,2024-10-09,SMB,churned
108,1610,2024-04-06,SMB,active
109,932,2024-01-16,SMB,churned
110,142,2024-06-20,SMB,churned
111,1519,2024-07-23,Mid-Market,active
112,1433,2023-05-06,Mid-Market,active
113,1470,2023-04-22,Mid-Market,active
114,2681,2024-02-28,Mid-Market,active
115,592,2025-02-18,SMB,active
116,352,2025-02-01,Enterprise,active
117,902,2024-08-16,SMB,active
118,1332,2025-01-05,SMB,active
119,1207,2024-06-25,SMB,churned
120,1374,2025-01-03,SMB,active
121,605,2024-08-26,SMB,churned
122,770,2025-04-18,SMB,active
123,24,2023-06-11,Mid-Market,active
124,679,2023-03-06,Mid-Market,active
125,3170,2023-05-01,Mid-Market,active
126,1096,2025-03-18,SMB,active
127,2672,2023-07-30,Mid-Market,active
128,3946,2023-02-21,Mid-Market,churned
129,805,2024-05-08,Mid-Market,churned
130,2453,2025-01-24,SMB,churned
131,2899,2024-02-06,Enterprise,churned
132,903,2023-06-16,SMB,active
133,2457,2024-03-29,Mid-Market,churned
134,163,2024-08-04,Enterprise,active
135,1278,2024-05-18,SMB,churned
136,2862,2024-02-12,Enterprise,active
137,3760,2025-01-16,Mid-Market,active
138,226,2024-02-06,SMB,churned
139,3324,2024-06-24,Mid-Market,active
140,2795,2025-04-03,Enterprise,active
141,3897,2025-04-06,SMB,active
142,639,2025-02-04,Mid-Market,active
143,176,2023-06-23,SMB,active
144,2576,2025-02-04,SMB,churned
145,3920,2023-01-16,Mid-Market,churned
146,2526,2023-01-07,Mid-Market,active
147,3628,2025-03-16,SMB,active
148,3020,2024-06-08,SMB,active
149,3289,2023-08-09,Mid-Market,active
150,2701,2025-02-10,SMB,active
151,459,2023-03-06,Enterprise,active
152,2761,2025-01-27,Mid-Market,active
153,726,2023-06-25,SMB,active
154,1822,2023-08-17,Mid-Market,active
155,94,2024-08-30,SMB,active
156,3161,2025-02-16,SMB,churned
157,876,2023-10-07,Mid-Market,active
158,3102,2024-09-25,SMB,active
159,1343,2024-06-16,Enterprise,active
160,3812,2025-01-31,SMB,active
161,661,2024-06-15,SMB,active
162,1257,2024-01-08,SMB,active
163,3348,2025-03-18,Mid-Market,churned
164,630,2023-01-31,SMB,active
165,3,2023-08-30,SMB,active
166,716,2025-01-13,SMB,active
167,3665,2023-11-28,SMB,active
168,1040,2025-04-04,Mid-Market,churned
169,1004,2023-02-06,Mid-Market,active
170,2949,2023-09-05,SMB,churned
171,1816,2023-04-01,SMB,active
172,1351,2024-03-30,SMB,active
173,1019,2023-10-05,Mid-Market,active
174,2498,2024-04-22,SMB,active
175,601,2024-09-19,Mid-Market,active
176,2795,2025-03-09,Enterprise,active
177,2191,2024-06-12,Mid-Market,active
178,2890,2024-05-28,Mid-Market,active
179,821,2023-05-04,SMB,active
180,392,2024-08-06,SMB,active
181,1170,2023-01-12,SMB,active
182,279,2023-02-17,SMB,churned
183,3020,2024-09-08,SMB,active
184,162,2024-04-13,SMB,active
185,1630,2023-11-06,SMB,active
186,2870,2025-03-22,SMB,active
187,2671,2024-02-09,Enterprise,active
188,2990,2023-07-12,Mid-Market,churned
189,406,2024-05-08,Mid-Market,active
190,2294,2023-09-11,Mid-Market,active
191,3736,2023-05-13,SMB,active
192,385,2024-12-20,Mid-Market,active
193,3372,2024-08-12,SMB,active
194,1670,2025-02-22,SMB,active
195,426,2023-07-09,Mid-Market,active
196,1431,2025-03-08,SMB,active
197,496,2025-03-12,SMB,active
198,2152,2025-01-09,SMB,active
199,147,2025-03-06,Mid-Market,active
200,2423,2025-03-11,Mid-Market,active
201,2708,2024-08-08,SMB,churned
202,3794,2024-03-05,SMB,active
203,3794,2024-02-10,SMB,active
204,140,2024-01-04,Mid-Market,active
205,520,2023-12-12,Enterprise,active
206,3549,2025-03-12,SMB,active
207,3753,2025-03-03,SMB,active
208,3998,2023-04-11,Mid-Market,active
209,2492,2024-10-15,SMB,churned
210,2197,2024-03-12,SMB,active
211,5,2023-08-08,SMB,churned
212,213,2025-03-10,Mid-Market,active
213,266,2025-01-13,SMB,churned
214,2792,2023-11-20,SMB,churned
215,3880,2023-08-16,SMB,churned
216,1307,2023-04-29,SMB,active
217,1540,2024-10-23,SMB,churned
218,505,2024-03-24,SMB,active
219,866,2023-05-03,Mid-Market,active
220,1517,2023-05-01,SMB,active
221,732,2025-03-12,SMB,active
222,2365,2024-07-23,SMB,churned
223,1035,2023-04-28,SMB,active
224,1360,2023-11-07,Mid-Market,active
225,1596,2023-10-05,Mid-Market,active
226,2935,2025-02-03,SMB,active
227,2135,2024-06-02,SMB,active
228,982,2023-09-24,Enterprise,active
229,1988,2023-04-12,Mid-Market,active
230,2136,2025-04-15,SMB,active
231,3807,2023-08-20,SMB,active
232,844,2024-06-18,SMB,active
233,3848,2024-06-07,SMB,active
234,1665,2023-09-12,SMB,active
235,209,2023-02-14,Mid-Market,active
236,2341,2024-08-10,SMB,active
237,548,2024-10-18,Mid-Market,active
238,1724,2023-04-10,SMB,active
239,1608,2024-11-22,SMB,churned
240,2652,2023-07-02,Mid-Market,active
241,551,2023-05-03,SMB,active
242,1260,2023-12-04,SMB,active
243,3009,2023-05-11,SMB,active
244,1695,2025-02-15,SMB,active
245,2523,2024-01-02,SMB,churned
246,3720,2023-03-31,SMB,active
247,385,2024-12-31,Mid-Market,active
248,3354,2025-02-28,Mid-Market,churned
249,2073,2025-03-22,SMB,active
