campaign_id,month,channel_cost_type,amount,region
34,2023-06-01,martech,3899.5,West
37,2023-10-01,martech,847.34,International
11,2024-05-01,martech,4470.92,South
54,2023-10-01,martech,3686.93,West
67,2024-05-01,media,46248.59,South
27,2024-01-01,media,4378.56,South
28,2023-06-01,media,11313.33,South
15,2024-03-01,martech,4384.38,East
13,2023-11-01,agency_fee,4823.32,South
42,2023-10-01,agency_fee,7109.29,South
1,2024-05-01,agency_fee,7823.23,South
2,2023-11-01,agency_fee,6367.64,East
53,2023-08-01,media,38406.81,East
45,2023-03-01,media,34330.79,South
27,2024-06-01,media,18171.35,South
40,2024-04-01,martech,2422.56,International
12,2024-04-01,media,5551.26,North
50,2023-08-01,agency_fee,1381.55,South
27,2024-07-01,media,24492.68,East
47,2023-12-01,agency_fee,2152.94,North
54,2024-03-01,agency_fee,9865.8,North
4,2023-03-01,media,15465.11,West
40,2024-11-01,martech,1735.64,South
4,2024-04-01,media,24056.44,East
33,2024-05-01,media,3042.19,West
28,2024-03-01,martech,3968.43,West
16,2024-01-01,agency_fee,8895.74,East
34,2024-11-01,martech,2631.45,West
2,2024-02-01,agency_fee,3084.45,West
54,2024-03-01,media,21584.32,North
24,2023-07-01,agency_fee,6667.76,North
54,2024-02-01,media,10960.23,North
31,2024-03-01,media,48260.74,South
4,2024-06-01,media,5132.22,West
44,2024-06-01,media,16097.53,West
44,2024-04-01,martech,4117.19,North
46,2024-05-01,agency_fee,2665.72,East
60,2023-05-01,agency_fee,3872.24,South
21,2024-02-01,martech,1736.21,West
14,2023-11-01,agency_fee,4804.23,North
28,2023-09-01,media,43332.17,South
51,2024-09-01,media,42064.16,West
4,2024-05-01,agency_fee,2856.35,East
36,2024-02-01,martech,2709.89,International
34,2024-11-01,agency_fee,9174.46,West
3,2024-02-01,agency_fee,9451.69,West
19,2023-11-01,media,5906.25,North
36,2024-11-01,agency_fee,1123.73,South
20,2023-01-01,agency_fee,6828.27,North
40,2023-11-01,media,17045.91,West
28,2024-09-01,media,35642.14,East
15,2024-07-01,media,31869.06,International
2,2024-12-01,agency_fee,2361.21,West
1,2023-11-01,martech,3173.34,East
27,2024-10-01,media,45448.05,East
31,2024-08-01,martech,2381.55,North
49,2023-11-01,martech,4330.56,East
8,2024-04-01,martech,4057.84,North
51,2023-11-01,martech,1289.27,South
10,2024-05-01,agency_fee,2393.71,East
53,2023-07-01,media,41671.44,West
27,2024-03-01,martech,2432.98,International
39,2023-05-01,martech,4516.84,International
20,2023-08-01,agency_fee,4701.59,West
49,2023-09-01,media,24684.95,South
20,2023-04-01,agency_fee,9976.07,West
9,2024-04-01,media,47149.71,South
23,2023-09-01,martech,1192.28,International
51,2023-12-01,martech,3335.42,East
32,2024-10-01,media,43657.9,South
63,2024-09-01,martech,3638.29,West
20,2024-03-01,media,29983.5,North
14,2023-09-01,media,47414.9,East
5,2024-02-01,martech,1600.21,East
5,2024-02-01,agency_fee,3619.08,South
34,2023-02-01,agency_fee,6464.77,West
22,2024-04-01,agency_fee,8225.07,North
13,2023-09-01,media,21717.27,West
38,2024-07-01,media,15216.67,East
20,2023-08-01,martech,1219.46,East
70,2024-04-01,media,42986.82,West
2,2024-06-01,martech,1878.39,International
33,2024-05-01,martech,1806.03,South
34,2024-03-01,agency_fee,4025.28,East
37,2024-06-01,agency_fee,2200.67,West
17,2023-10-01,agency_fee,9610.41,East
27,2024-01-01,martech,2840.66,East
33,2024-12-01,martech,4693.27,South
50,2023-06-01,agency_fee,9343.36,North
23,2024-06-01,media,30046.61,West
12,2024-06-01,agency_fee,4859.96,West
27,2024-11-01,martech,4326.95,South
45,2023-02-01,media,42752.87,North
1,2023-07-01,martech,3239.72,East
16,2024-02-01,agency_fee,5372.79,North
33,2024-09-01,martech,1000.65,East
3,2024-06-01,media,30075.39,East
20,2023-04-01,media,30739.87,West
68,2023-08-01,media,2744.87,South
57,2023-10-01,agency_fee,3926.79,South
4,2023-10-01,martech,1455.88,South
56,2023-08-01,agency_fee,1003.45,North
7,2024-03-01,agency_fee,3064.61,West
4,2024-04-01,martech,1532.98,South
48,2024-01-01,media,46480.4,East
52,2023-04-01,media,49747.05,North
70,2024-10-01,martech,1859.75,North
30,2023-06-01,agency_fee,7960.6,North
23,2024-01-01,agency_fee,3424.56,North
55,2024-07-01,agency_fee,4143.49,West
16,2024-03-01,martech,4578.73,North
26,2024-05-01,martech,3570.79,International
52,2023-04-01,agency_fee,9213.73,North
30,2023-08-01,martech,1211.26,North
40,2024-06-01,agency_fee,4939.51,North
64,2024-07-01,agency_fee,5245.06,West
9,2024-05-01,media,24644.23,East
63,2023-11-01,martech,1640.11,South
34,2023-06-01,agency_fee,1587.32,East
9,2024-07-01,martech,4186.61,East
54,2023-07-01,martech,4171.9,West
9,2024-02-01,agency_fee,1564.51,West
31,2024-09-01,agency_fee,4810.36,West
42,2024-01-01,media,16335.83,East
62,2024-10-01,martech,2495.44,International
34,2024-10-01,agency_fee,7347.95,International
20,2024-02-01,martech,3599.12,West
45,2023-11-01,media,42905.6,International
49,2023-10-01,media,26022.04,West
