nps_id,customer_id,date,score,notes,survey_channel
1,38,2023-02-11,8.2,Arrive understand education.,email
2,952,2023-02-14,5.2,Fear strategy clear interesting more easy like.,email
3,1850,2023-02-06,6.4,Class best wife into.,email
4,1920,2023-02-03,4.5,Certainly begin green dark six international give.,in_app
5,1103,2023-02-03,10.0,Environment matter draw bed pick share level.,email
6,1922,2023-01-01,4.6,Serve energy live former point.,email
7,1752,2023-01-23,7.8,Team idea high main.,in_app
8,1169,2023-03-14,8.4,Simple girl stand ok.,in_app
9,1464,2023-01-27,5.6,Return father from audience economy region.,email
10,421,2023-03-11,5.1,Ball sometimes operation decide sometimes.,email
11,1078,2023-03-08,5.2,Partner leave their.,email
12,981,2023-03-21,5.3,Woman check mission him consider information true.,email
13,1316,2023-01-10,8.6,Believe history eat I position lot thank.,in_app
14,691,2023-01-09,10.0,Law manager price what.,email
15,759,2023-03-04,6.2,Around blue history happy note.,email
16,1400,2023-01-28,4.0,Short able place stuff could economy.,email
17,1549,2023-02-09,7.3,Station writer idea state who law outside.,email
18,1845,2023-02-14,5.4,Story camera rich answer save amount executive.,email
19,1038,2023-03-13,6.1,Old case beyond effect amount rise gun begin.,email
20,1372,2023-02-20,9.1,Only physical throughout strong hospital month.,in_app
21,241,2023-01-27,7.7,Direction clearly hit my grow attack.,email
22,1029,2023-01-24,5.4,Imagine listen west old bit eye.,email
23,424,2023-03-11,7.7,Claim drop much lay respond between wish.,email
24,312,2023-02-18,4.2,Lead individual involve prove so become.,email
25,123,2023-03-26,5.3,Minute box answer.,email
26,1792,2023-01-02,6.9,Usually hope number store town themselves pretty source.,email
27,1468,2023-02-04,9.5,Difference clearly bad issue.,email
28,1707,2023-01-19,4.9,Notice action imagine adult less scene.,email
29,257,2023-01-10,7.5,All popular religious.,email
30,1760,2023-03-18,7.5,Cultural foreign per.,email
31,1046,2023-01-23,7.1,Wife watch article note like.,email
32,1561,2023-01-27,4.5,Identify first trial fear region.,email
33,919,2023-03-28,6.8,Offer official teach generation under relate produce.,email
34,448,2023-01-29,7.3,Region college too decide too.,email
35,229,2023-03-13,4.3,Poor exactly piece recently idea improve young.,email
36,322,2023-02-05,6.6,Case either staff stock line wear eye.,email
37,888,2023-03-10,7.8,Middle general food professional during good security.,in_app
38,1475,2023-03-26,6.5,Study two despite.,in_app
39,1115,2023-02-09,5.8,Investment tonight its local.,in_app
40,475,2023-01-20,7.0,Bring history indicate certainly group institution.,in_app
41,1872,2023-02-12,8.1,Buy production gas agent between leave.,email
42,1177,2023-01-13,9.5,Exist science talk join cell PM religious.,email
43,28,2023-02-15,7.0,One forward owner particular quickly executive.,email
44,1089,2023-02-07,7.8,Military similar deep chair direction.,email
45,1462,2023-02-12,7.9,Get stuff responsibility.,in_app
46,64,2023-03-16,6.7,Design treat read.,in_app
47,159,2023-03-02,5.9,Democratic seven democratic stop.,email
48,507,2023-01-28,6.6,Seek research stuff else small.,email
49,143,2023-01-02,8.5,Score building deal per time door lot.,in_app
50,1116,2023-02-26,5.9,Hand room instead season.,email
51,1435,2023-02-23,8.0,Suddenly entire alone.,in_app
52,363,2023-03-24,2.4,Skill fund six drug nearly service.,email
53,167,2023-03-17,8.6,Total way out quite.,email
54,789,2023-02-18,8.5,Size never push begin.,in_app
55,307,2023-02-14,9.4,Answer whether that for study.,email
56,1610,2023-01-12,7.0,Relate show white those measure respond.,in_app
57,269,2023-03-14,5.1,Technology determine after rise since.,email
58,483,2023-02-07,6.9,Dinner close physical message marriage threat.,phone
59,436,2023-02-24,7.5,Rich indicate wide one car.,email
60,1151,2023-02-04,9.6,Watch you suddenly above.,email
61,539,2023-02-17,4.3,Another culture question success woman security.,email
62,608,2023-01-23,8.1,Company next music near not say help expect.,email
63,931,2023-02-09,8.8,Radio wall system customer money including.,email
64,1279,2023-02-01,5.0,Glass management couple meeting approach.,in_app
65,529,2023-02-10,10.0,Enough wall practice piece.,in_app
66,491,2023-02-27,4.7,Enjoy while discussion modern wrong address senior.,email
67,1485,2023-02-05,8.3,Pretty style attack speak big occur allow generation.,email
68,232,2023-01-22,9.0,White account where interest test partner.,email
69,1929,2023-01-25,10.0,Until court network consumer.,email
70,220,2023-02-08,7.3,Sort around sense college yard.,email
71,1228,2023-02-22,8.0,Generation reveal themselves current newspaper always color challenge.,email
72,138,2023-01-25,4.1,Actually heart close thousand truth brother.,email
73,603,2023-02-27,6.6,Call beyond read threat.,email
