opportunity_id,account_id,contact_id,sales_rep_id,created_at,amount,pipeline_stage,current_stage,forecast_category,next_step_date,status,actual_close,loss_reason
3,1808,6,8,2023-01-06,62007,2,Demo,Best Case,2023-03-08,open,,
4,1808,7,8,2023-01-09,29158,2,Demo,Omit,2023-01-23,open,,
5,2031,9,29,2023-01-11,20540,1,Discovery,Omit,2020-01-01,open,,
6,2031,9,29,2023-01-03,23768,5,Closed,Omit,2023-01-13,won,2023-03-30,
7,443,12,16,2023-02-20,13544,5,Closed,Commit,2023-01-01,won,2023-06-14,
8,1182,14,30,2023-01-02,23949,2,Demo,Omit,2020-01-01,open,,
9,1182,14,30,2023-01-02,17937,5,Closed,Omit,2023-03-11,won,2023-04-16,
24,1548,34,19,2023-01-20,27480,3,Proposal,Best Case,2023-03-21,open,,
25,1548,33,19,2023-01-13,72876,2,Demo,Commit,2023-01-03,open,,
26,1548,34,19,2023-01-18,85097,5,Closed,Best Case,2023-01-09,won,2023-04-05,
27,1548,33,19,2023-01-20,66054,2,Demo,Commit,2023-01-04,open,,
31,193,42,18,2023-01-09,9096,1,Discovery,Omit,2023-01-09,open,,
34,465,46,6,2023-01-09,44884,5,Closed,Best Case,2023-01-01,won,2023-01-14,
35,465,46,6,2023-01-07,57770,5,Closed,Omit,2023-01-03,lost,2023-03-09,timing
36,465,46,6,2023-01-04,50788,1,Discovery,Commit,2023-01-08,open,,
50,2819,62,2,2023-01-27,11209,5,Closed,Commit,2023-01-08,won,2023-02-15,
51,2819,63,2,2023-01-27,24844,2,Demo,Best Case,2023-02-16,open,,
52,2819,62,2,2023-01-22,22512,2,Demo,Omit,2023-01-08,open,,
57,3692,77,34,2023-03-11,15072,2,Demo,Commit,2023-03-01,open,,
58,3692,79,34,2023-03-08,23769,5,Closed,Best Case,2023-01-08,won,2023-04-04,
68,3765,90,7,2023-01-07,24937,5,Closed,Best Case,2023-01-06,lost,2023-01-15,feature_gap
69,3765,90,7,2023-01-02,24256,5,Closed,Best Case,2023-01-09,won,2023-03-15,
70,2958,91,12,2023-01-05,195124,5,Closed,Best Case,2023-01-29,lost,2023-02-10,no_decision
73,2181,97,27,2023-01-01,318181,1,Discovery,Best Case,2023-01-06,open,,
91,2843,136,20,2023-01-08,14154,5,Closed,Omit,2023-01-02,lost,2023-03-03,feature_gap
92,2843,136,20,2023-01-05,9696,0,Qualification,Omit,2023-01-06,open,,
97,23,146,35,2023-01-06,21649,5,Closed,Best Case,2023-01-11,won,2023-03-11,
99,2183,151,21,2023-01-06,14755,5,Closed,Commit,2023-03-11,won,2023-02-05,
111,2306,176,26,2023-03-29,15600,3,Proposal,Omit,2023-03-29,open,,
112,2306,176,26,2023-03-25,24466,5,Closed,Best Case,2023-03-20,won,2023-05-27,
113,2306,176,26,2023-03-28,21498,5,Closed,Best Case,2023-01-06,won,2023-07-06,
117,2618,181,10,2023-01-03,17009,5,Closed,Omit,2023-01-04,won,2023-03-26,
118,2618,180,10,2023-01-04,8169,3,Proposal,Best Case,2023-01-08,open,,
137,2132,221,38,2023-01-05,61478,3,Proposal,Best Case,2023-03-13,open,,
139,3003,228,1,2023-01-10,22572,3,Proposal,Commit,2023-01-04,open,,
140,3003,227,1,2023-01-10,13279,5,Closed,Best Case,2023-01-02,won,2023-02-02,
150,1959,244,6,2023-01-01,6773,3,Proposal,Commit,2023-03-29,open,,
151,1959,243,6,2023-01-06,11642,1,Discovery,Commit,2023-01-04,open,,
159,1484,250,40,2023-01-11,14435,5,Closed,Commit,2023-01-01,won,2023-02-24,
160,3130,251,5,2023-01-10,16885,1,Discovery,Best Case,2023-01-11,open,,
161,3317,254,27,2023-01-16,8433,5,Closed,Commit,2023-03-07,won,2023-01-27,
162,3317,254,27,2023-01-16,7209,5,Closed,Omit,2023-01-06,won,2023-04-28,
163,3317,253,27,2023-01-15,16313,5,Closed,Best Case,2023-02-18,won,2023-01-20,
164,3317,252,27,2023-01-17,11714,5,Closed,Omit,2020-01-01,won,2023-02-22,
172,161,267,21,2023-01-06,20159,2,Demo,Commit,2023-01-05,open,,
176,494,274,10,2023-01-30,401899,5,Closed,Best Case,2023-01-01,won,2023-04-04,
184,233,277,10,2023-01-02,17638,1,Discovery,Best Case,2023-01-03,open,,
185,233,277,10,2023-01-02,9461,1,Discovery,Commit,2023-01-15,open,,
186,3602,280,27,2023-03-27,16177,1,Discovery,Commit,2023-01-03,open,,
187,3602,281,27,2023-03-26,19581,5,Closed,Best Case,2023-01-01,won,2023-04-09,
190,1609,288,29,2023-01-21,7516,1,Discovery,Commit,2023-03-11,open,,
192,1724,290,35,2023-01-11,5716,3,Proposal,Omit,2023-01-09,open,,
193,1724,290,35,2023-01-07,5100,5,Closed,Commit,2023-01-07,won,2023-03-17,
194,1724,290,35,2023-01-01,9325,5,Closed,Omit,2020-01-01,won,2023-04-10,
195,2329,292,18,2023-01-02,57455,2,Demo,Omit,2023-01-06,open,,
196,2329,292,18,2023-01-01,50061,1,Discovery,Commit,2023-02-21,open,,
197,3957,294,47,2023-01-06,87680,5,Closed,Commit,2023-01-04,won,2023-03-18,
198,3957,294,47,2023-01-10,43824,2,Demo,Omit,2023-01-06,open,,
200,2446,302,8,2023-01-04,16712,5,Closed,Best Case,2023-01-31,won,2023-03-29,
201,2446,303,8,2023-01-04,9728,1,Discovery,Commit,2023-03-15,open,,
218,2661,,26,2023-01-11,13692,2,Demo,Omit,2023-01-04,open,,
219,2661,332,26,2023-01-02,17122,5,Closed,Omit,2023-01-01,won,2023-03-29,
220,2661,332,26,2023-01-09,19511,2,Demo,Commit,2020-01-01,open,,
227,882,347,50,2023-01-09,19564,1,Discovery,Commit,2023-02-07,open,,
