subscription_id,customer_id,plan,start_date,end_date,monthly_value
1,1,starter,2024-10-15,2025-10-15,530.31
2,1,growth,2024-10-15,2025-10-15,2572.54
3,1,growth,2024-10-15,2025-10-15,2112.83
4,2,starter,2024-05-22,,578.7
9,3,starter,2025-03-14,,501.83
10,4,growth,2024-10-20,2025-10-20,2503.97
11,4,starter,2024-10-20,,547.23
12,4,enterprise,2024-10-20,2025-10-20,13219.69
13,5,starter,2024-01-22,,556.13
14,6,starter,2023-08-11,,518.82
15,6,growth,2023-08-11,2024-08-10,2244.41
17,7,starter,2023-07-06,2024-07-05,432.19
18,7,starter,2023-07-06,2024-07-05,429.34
20,8,starter,2025-03-26,,494.09
22,9,starter,2023-07-31,,448.44
23,9,starter,2023-07-31,,525.28
24,9,growth,2023-07-31,2024-07-30,2574.61
27,11,enterprise,2023-11-02,,10161.36
28,11,growth,2023-11-02,2024-11-01,2927.25
29,12,enterprise,2023-03-29,2024-03-28,14118.96
30,12,growth,2023-03-29,,2383.45
31,13,growth,2024-12-17,,2647.37
32,14,starter,2023-12-26,,448.33
33,14,growth,2023-12-26,,2356.62
34,14,growth,2023-12-26,,2795.51
35,15,starter,2023-10-28,2024-10-27,432.5
36,15,starter,2023-10-28,,593.34
39,16,enterprise,2023-11-04,,13740.44
40,17,starter,2025-02-15,,530.66
41,18,enterprise,2023-03-27,2024-03-26,12183.95
43,20,growth,2024-03-22,,2410.18
44,21,starter,2025-04-22,,496.44
45,21,starter,2025-04-22,,424.28
46,21,growth,2025-04-22,2026-04-22,2799.13
49,24,starter,2025-02-03,,402.95
50,24,growth,2025-02-03,,2148.64
51,24,enterprise,2025-02-03,,13430.94
54,25,starter,2023-09-14,2024-09-13,564.82
58,27,starter,2025-01-04,,423.5
60,28,enterprise,2025-01-07,,11216.06
66,31,starter,2024-10-14,,475.04
67,32,starter,2023-12-22,2024-12-21,447.56
68,32,starter,2023-12-22,,484.57
69,32,starter,2023-12-22,,490.01
70,33,growth,2023-02-12,2024-02-12,2344.46
71,33,starter,2023-02-12,,554.91
73,35,starter,2023-09-16,,495.3
75,36,starter,2024-11-04,2025-11-04,421.88
76,36,growth,2024-11-04,,2729.41
78,37,growth,2025-04-09,,2043.52
80,38,enterprise,2025-04-16,,10518.1
81,38,starter,2025-04-16,,462.48
83,39,starter,2024-03-12,,593.32
84,39,growth,2024-03-12,,2757.38
86,40,growth,2023-08-06,,2961.44
87,41,growth,2025-02-07,,2369.93
88,41,starter,2025-02-07,2026-02-07,504.38
89,42,starter,2025-04-26,2026-04-26,541.47
91,42,growth,2025-04-26,,2373.35
93,43,starter,2023-10-29,,452.28
94,44,starter,2024-04-10,,581.23
96,45,starter,2023-02-26,2024-02-26,476.78
97,45,growth,2023-02-26,,2832.43
98,46,starter,2025-01-13,,505.97
99,46,growth,2025-01-13,2026-01-13,2607.39
100,47,enterprise,2025-01-31,,13005.31
103,48,starter,2023-10-30,,506.61
105,48,growth,2023-10-30,,2241.3
106,49,growth,2023-03-24,,2432.62
107,49,starter,2023-03-24,2024-03-23,548.61
109,50,growth,2023-11-30,,2196.53
110,51,starter,2024-11-06,,513.13
111,51,growth,2024-11-06,,2867.35
112,51,growth,2024-11-06,2025-11-06,2529.98
116,53,growth,2024-03-11,,2665.61
119,54,enterprise,2023-11-01,2024-10-31,12824.56
121,55,enterprise,2024-12-02,,14303.81
124,57,growth,2024-11-06,,2022.63
126,57,starter,2024-11-06,,497.78
127,58,growth,2024-06-01,,2437.05
128,58,starter,2024-06-01,,597.74
129,59,starter,2023-08-20,,470.22
130,59,enterprise,2023-08-20,,9695.22
131,60,growth,2025-01-11,2026-01-11,2722.76
132,60,starter,2025-01-11,,547.35
133,60,starter,2025-01-11,,480.22
135,61,growth,2024-10-22,,2516.28
136,62,growth,2025-03-30,,2199.01
137,63,starter,2023-04-06,,409.68
