ticket_id,customer_id,created_at,resolved_at,category,status,cs_rep_id,first_response_mins,resolution_mins
1,178,2023-08-18,2023-08-25,bug,closed,47,96,10080
2,1910,2024-04-02,2024-04-02,usage_question,closed,31,86,0
3,692,2024-12-23,2024-12-30,billing,closed,23,27,10080
4,931,2024-06-13,2024-06-14,bug,closed,7,95,1440
5,1899,2024-09-24,2024-09-27,usage_question,closed,32,227,4320
6,937,2024-08-28,2024-08-28,bug,closed,8,171,0
7,640,2024-04-13,2024-04-19,bug,closed,10,198,8640
8,3,2024-10-14,2024-10-16,feature_request,closed,47,141,2880
9,1351,2024-09-13,2024-09-17,billing,closed,47,84,5760
10,1308,2024-03-20,2024-03-21,usage_question,closed,40,125,1440
11,1,2024-02-13,2024-02-14,usage_question,closed,13,41,1440
12,1014,2024-12-03,2024-12-08,bug,closed,12,24,7200
13,1595,2024-08-22,2024-08-26,other,closed,42,217,5760
14,1073,2024-07-14,2024-07-14,feature_request,closed,33,222,0
15,1602,2024-09-12,2024-09-14,billing,closed,10,151,2880
16,155,2024-01-28,2024-01-31,usage_question,closed,36,232,4320
17,778,2024-07-13,2024-07-18,usage_question,closed,32,90,7200
18,410,2023-12-25,2023-12-25,bug,closed,30,153,0
19,1198,2024-05-25,2024-05-25,bug,closed,27,114,0
20,557,2024-12-22,2024-12-23,usage_question,closed,19,188,1440
21,572,2024-12-19,2024-12-19,bug,closed,37,114,0
22,557,2023-06-19,2023-06-25,usage_question,closed,12,19,8640
23,588,2023-10-24,2023-10-24,feature_request,closed,16,16,0
24,749,2024-10-07,2024-10-07,usage_question,closed,38,122,0
25,405,2023-10-23,2023-10-30,bug,closed,43,17,10080
26,946,2023-11-16,2023-11-18,usage_question,closed,30,124,2880
27,1404,2023-12-31,2023-12-31,usage_question,closed,29,201,0
28,1611,2024-03-26,2024-03-26,bug,closed,24,108,0
29,536,2024-12-29,2024-12-29,bug,closed,42,236,0
30,855,2024-09-25,2024-09-25,other,closed,1,36,0
31,696,2024-09-28,2024-09-28,billing,closed,4,142,0
32,1222,2024-09-29,2024-09-30,other,closed,49,190,1440
33,838,2024-08-15,2024-08-15,usage_question,closed,29,109,0
34,1106,2024-09-27,2024-09-27,feature_request,closed,19,52,0
35,844,2024-09-15,2024-09-15,other,closed,30,56,0
36,1965,2024-12-03,2024-12-03,usage_question,closed,27,109,0
37,558,2024-10-29,2024-11-01,usage_question,closed,26,101,4320
38,933,2024-03-04,2024-03-04,bug,closed,25,114,0
39,642,2024-05-10,2024-05-10,usage_question,closed,15,239,0
40,1253,2024-01-10,2024-01-10,usage_question,closed,26,68,0
41,1745,2024-10-27,2024-10-27,usage_question,closed,18,124,0
42,1022,2024-07-06,2024-07-09,other,closed,18,144,4320
43,683,2024-05-15,2024-05-17,bug,closed,38,97,2880
44,253,2023-11-13,2023-11-13,bug,closed,18,70,0
45,449,2024-05-27,2024-05-31,bug,closed,11,106,5760
46,1579,2024-07-04,2024-07-04,billing,closed,46,237,0
47,1262,2023-01-06,2023-01-07,bug,closed,27,209,1440
48,349,2024-10-16,2024-10-21,usage_question,closed,46,185,7200
49,598,2024-11-28,2024-11-28,bug,closed,38,128,0
50,1873,2024-10-09,2024-10-16,bug,closed,20,222,10080
51,1886,2024-03-12,2024-03-12,bug,closed,23,78,0
52,1242,2024-08-29,2024-09-05,bug,closed,40,217,10080
53,1577,2023-12-01,2023-12-06,bug,closed,37,56,7200
54,1483,2024-11-07,2024-11-07,bug,closed,25,201,0
55,1415,2023-12-24,2023-12-24,billing,closed,17,175,0
56,1505,2024-12-24,2024-12-24,billing,closed,27,180,0
57,1346,2024-06-11,2024-06-14,usage_question,closed,7,84,4320
58,109,2024-04-07,2024-04-09,usage_question,closed,32,235,2880
59,1079,2024-06-20,2024-06-20,feature_request,closed,26,226,0
60,751,2024-10-01,2024-10-02,usage_question,closed,8,108,1440
61,612,2024-12-02,2024-12-09,feature_request,closed,3,217,10080
62,1117,2024-04-26,2024-04-26,other,closed,43,178,0
63,104,2024-07-07,2024-07-07,bug,closed,13,198,0
64,885,2024-03-03,2024-03-07,usage_question,closed,34,49,5760
65,926,2023-09-27,2023-09-27,usage_question,closed,27,195,0
66,407,2024-09-17,2024-09-17,billing,closed,34,192,0
67,491,2023-12-07,2023-12-08,usage_question,closed,7,33,1440
68,260,2024-04-28,2024-04-28,feature_request,closed,3,206,0
69,1158,2024-12-20,2024-12-20,bug,closed,15,215,0
70,733,2024-08-29,2024-08-29,usage_question,closed,20,61,0
71,1585,2024-10-18,2024-10-25,bug,closed,13,140,10080
72,244,2024-08-27,2024-08-27,bug,closed,13,202,0
73,848,2024-07-17,2024-07-17,other,closed,45,189,0
74,642,2023-11-25,2023-11-25,other,closed,17,236,0
75,281,2024-09-22,2024-09-22,feature_request,closed,7,105,0
76,617,2024-06-03,2024-06-08,feature_request,closed,14,228,7200
77,1670,2024-09-15,2024-09-20,bug,closed,21,79,7200
78,1912,2024-05-30,2024-05-30,usage_question,closed,8,118,0
79,596,2024-09-27,2024-09-27,bug,closed,18,91,0
80,1770,2024-09-17,2024-09-24,usage_question,closed,22,46,10080
81,1919,2024-12-18,2024-12-18,usage_question,closed,34,232,0
82,1946,2024-05-22,2024-05-23,bug,closed,1,106,1440
83,1108,2023-09-07,2023-09-10,bug,closed,16,165,4320
84,1990,2024-10-12,2024-10-13,bug,closed,48,216,1440
85,1742,2024-06-10,2024-06-10,usage_question,closed,10,49,0
86,1944,2023-09-29,2023-09-29,usage_question,closed,22,232,0
87,919,2024-10-06,2024-10-10,bug,closed,17,210,5760
88,1261,2024-01-07,2024-01-07,bug,closed,4,87,0
89,1768,2024-01-03,2024-01-03,feature_request,closed,3,209,0
90,1551,2023-12-11,2023-12-11,usage_question,closed,2,165,0
91,152,2024-02-24,2024-02-24,bug,closed,29,91,0
92,687,2024-06-29,2024-07-01,bug,closed,26,118,2880
93,887,2024-06-05,2024-06-11,other,closed,16,40,8640
94,395,2024-12-20,2024-12-23,feature_request,closed,20,42,4320
95,1489,2024-06-11,2024-06-14,other,closed,27,131,4320
96,1851,2024-11-20,2024-11-20,other,closed,21,46,0
97,192,2024-01-12,2024-01-12,feature_request,closed,31,222,0
98,70,2024-11-25,2024-11-25,feature_request,closed,5,118,0
99,1811,2024-09-23,2024-09-28,other,closed,16,21,7200
100,1077,2024-10-04,2024-10-08,bug,closed,5,36,5760
101,1334,2023-10-04,2023-10-04,feature_request,closed,16,174,0
102,348,2023-12-31,2024-01-03,billing,closed,33,121,4320
103,694,2024-10-11,2024-10-17,bug,closed,8,177,8640
104,1369,2024-01-23,2024-01-28,other,closed,43,42,7200
105,1482,2024-04-20,2024-04-27,other,closed,6,177,10080
106,1082,2024-07-08,2024-07-08,other,closed,27,25,0
107,620,2024-03-01,2024-03-01,feature_request,closed,37,177,0
108,1045,2024-04-09,2024-04-09,billing,closed,20,105,0
109,1430,2024-05-06,2024-05-06,feature_request,closed,32,123,0
110,1336,2023-12-27,2023-12-29,feature_request,closed,6,105,2880
111,371,2024-06-04,2024-06-04,bug,closed,31,71,0
112,1888,2023-11-13,2023-11-13,feature_request,closed,24,89,0
113,1909,2024-04-19,2024-04-19,bug,closed,42,66,0
114,657,2024-06-01,2024-06-01,bug,closed,45,129,0
115,738,2024-03-18,2024-03-23,usage_question,closed,50,170,7200
116,1775,2023-12-06,2023-12-06,feature_request,closed,31,119,0
117,908,2024-12-13,2024-12-13,bug,closed,35,73,0
118,1179,2024-06-01,2024-06-01,usage_question,closed,35,143,0
119,1489,2024-09-22,2024-09-22,billing,closed,20,151,0
120,1843,2024-05-25,2024-05-25,billing,closed,45,95,0
121,257,2024-12-12,2024-12-12,usage_question,closed,31,124,0
122,1112,2024-04-27,2024-04-29,usage_question,closed,48,19,2880
123,1598,2024-01-09,2024-01-09,usage_question,closed,48,90,0
124,1776,2024-04-10,2024-04-14,bug,closed,34,93,5760
125,1545,2024-03-10,2024-03-14,bug,closed,27,68,5760
126,297,2024-03-04,2024-03-08,usage_question,closed,25,165,5760
127,719,2024-10-07,2024-10-09,usage_question,closed,25,103,2880
128,737,2024-12-13,2024-12-13,other,closed,32,235,0
129,1801,2024-05-03,2024-05-09,bug,closed,13,171,8640
130,161,2024-11-22,2024-11-29,usage_question,closed,35,225,10080
131,553,2023-11-05,2023-11-05,usage_question,closed,25,199,0
132,49,2024-07-02,2024-07-02,billing,closed,7,26,0
133,1976,2024-12-13,2024-12-18,other,closed,13,58,7200
134,595,2024-01-31,2024-02-02,usage_question,closed,13,92,2880
135,1990,2024-09-27,2024-09-30,usage_question,closed,37,191,4320
136,349,2024-01-30,2024-01-31,bug,closed,24,195,1440
137,75,2023-12-11,2023-12-11,bug,closed,45,69,0
138,823,2024-11-11,2024-11-17,usage_question,closed,6,187,8640
139,1278,2024-09-30,2024-10-03,billing,closed,4,239,4320
140,1806,2024-07-18,2024-07-18,bug,closed,38,33,0
141,1389,2024-09-15,2024-09-19,usage_question,closed,6,30,5760
142,1151,2024-12-19,2024-12-19,bug,closed,35,27,0
143,1355,2024-08-02,2024-08-02,billing,closed,24,114,0
144,1460,2024-03-06,2024-03-06,usage_question,closed,32,184,0
145,193,2024-08-23,2024-08-23,billing,closed,18,64,0
146,687,2024-08-28,2024-08-28,feature_request,closed,11,139,0
147,267,2024-09-21,2024-09-21,feature_request,closed,14,127,0
148,65,2024-01-01,2024-01-06,usage_question,closed,29,37,7200
149,58,2023-11-16,2023-11-19,bug,closed,50,185,4320
150,44,2023-12-19,2023-12-19,bug,closed,46,87,0
151,277,2024-06-09,2024-06-16,billing,closed,21,100,10080
152,202,2024-12-05,2024-12-05,bug,closed,26,235,0
